bloque,ramo,mes,real,leg,mod
BEL,60,202608,,0.0,119824590.4466713
BEL,60,202609,,0.0,0.0
BEL,60,202610,,0.0,0.0
BEL,60,202611,,0.0,0.0
BEL,60,202612,,0.0,0.0
BEL,71,202601,,,
BEL,71,202602,,,
BEL,71,202603,,,
BEL,71,202604,,,
BEL,71,202605,,,
BEL,71,202606,,,
BEL,71,202607,,,
BEL,71,202608,,,
BEL,71,202609,,,
BEL,71,202610,,,
BEL,71,202611,,,
BEL,71,202612,,,
BEL,73,202601,,,
BEL,73,202602,,,
BEL,73,202603,,,
BEL,73,202604,,,
BEL,73,202605,,,
BEL,73,202606,,,
BEL,73,202607,,,
BEL,73,202608,,,
BEL,73,202609,,,
BEL,73,202610,,,
BEL,73,202611,,,
BEL,73,202612,,,
BEL,80,202601,0.0,0.0,0.0
BEL,80,202602,0.0,0.0,0.0
BEL,80,202603,0.0011157476667950212,0.0,0.0
BEL,80,202604,-6.664185394928948e-12,0.0,0.0
BEL,80,202605,-3.35682383108906e-12,0.0,0.0
BEL,80,202606,0.0,0.0,0.0
BEL,80,202607,3.36058363192408e-12,0.0,0.0
BEL,80,202608,,0.0,0.0
BEL,80,202609,,0.0,0.0
BEL,80,202610,,0.0,0.0
BEL,80,202611,,0.0,0.0
BEL,80,202612,,0.0,0.0
BEL,90,202601,19040148.381467387,21228028.76896788,21453742.25640995
BEL,90,202602,20869561.687113363,21880174.44740222,22156599.5071733
BEL,90,202603,22524561.80851539,23873078.17418908,24061569.58108682
BEL,90,202604,22624708.16369756,24751770.1488043,25067582.52160189
BEL,90,202605,23031456.468532477,25065407.6205656,25503722.36236481
BEL,90,202606,19463575.758632123,24205521.42315017,24927760.99310969
BEL,90,202607,21665423.26638069,26338484.7090399,27523281.52837713
BEL,90,202608,,0.0,25191566.90432361
BEL,90,202609,,0.0,0.0
BEL,90,202610,,0.0,0.0
BEL,90,202611,,0.0,0.0
BEL,90,202612,,0.0,0.0
BEL,100,202601,160667.98812865597,108519.4367301377,108519.4367301377
BEL,100,202602,163702.81282280435,108247.4070730847,108247.4070730847
BEL,100,202603,163909.07158637003,110962.5582169462,110962.5582169462
BEL,100,202604,170997.7754625389,116148.2653351269,116148.2653351269
BEL,100,202605,174484.86513918606,117453.236789834,117453.236789834
BEL,100,202606,178717.78313693663,121741.0476117774,120837.3576390963
BEL,100,202607,175419.00385088363,118515.577035021,117772.1577372421
BEL,100,202608,,0.0,116957.4991742633
BEL,100,202609,,0.0,0.0
BEL,100,202610,,0.0,0.0
BEL,100,202611,,0.0,0.0
BEL,100,202612,,0.0,0.0
BEL,110,202601,35655410.16986124,42354327.17287475,42689755.84534852
BEL,110,202602,37271427.24323634,42191396.63462543,42501744.42684223
BEL,110,202603,37295358.735188454,42029161.81305387,42309402.53412159
BEL,110,202604,36903451.12142791,41586209.56233898,41812204.27027668
BEL,110,202605,36984595.6540043,41855729.03680981,42082040.99724793
BEL,110,202606,38899903.15053776,44528761.96999905,43824304.18184166
BEL,110,202607,40796895.26808964,46181313.30282073,45623694.42263391
BEL,110,202608,,0.0,38295298.27701975
BEL,110,202609,,0.0,0.0
BEL,110,202610,,0.0,0.0
BEL,110,202611,,0.0,0.0
BEL,110,202612,,0.0,0.0
IRR,10,202601,4764246.744278161,1545152.054224896,1543265.914966588
IRR,10,202602,6882035.386900962,1627512.033794438,1639608.395678323
IRR,10,202603,7064821.762100283,1705309.345634657,1722552.624078168
IRR,10,202604,9430678.031690786,1836151.815914764,1888737.604583118
IRR,10,202605,11386577.868063044,1986812.384677928,2067738.650289843
IRR,10,202606,14044717.264809756,2277366.65694908,2148687.223367597
IRR,10,202607,15892477.127945175,2401174.702039191,2321697.392921161
IRR,10,202608,,0.0,2773846.844228841
IRR,10,202609,,0.0,0.0
IRR,10,202610,,0.0,0.0
IRR,10,202611,,0.0,0.0
IRR,10,202612,,0.0,0.0
IRR,30,202601,528617.654892911,413425.1705125424,389796.4214413599
IRR,30,202602,602194.5879130445,420173.0789908593,394962.1669153814
IRR,30,202603,573874.0359940196,348216.35845854,325629.9767513063
IRR,30,202604,458770.32938725036,104447.3241700979,85629.08857345318
IRR,30,202605,622067.3462090761,162610.14007733,138585.8943502461
IRR,30,202606,443791.8559199022,127249.4418062727,99119.62518617942
IRR,30,202607,401299.36838580435,88832.01066009747,66968.76986690555
IRR,30,202608,,0.0,1037796.797852559
IRR,30,202609,,0.0,0.0
IRR,30,202610,,0.0,0.0
IRR,30,202611,,0.0,0.0
IRR,30,202612,,0.0,0.0
IRR,34,202601,19187.067238419986,27294.22547992739,26626.9034369599
IRR,34,202602,18301.90345756102,18444.61808013649,17821.24771249904
IRR,34,202603,23821.104924910178,45840.68419951492,45148.1066208569
IRR,34,202604,26478.896661476458,51381.83106058898,50627.53676483681
IRR,34,202605,28140.627216682722,54312.90310398727,53521.53678775039
IRR,34,202606,29732.70375915788,57937.2338461857,57120.22742148666
IRR,34,202607,31485.831404042565,68637.50193135143,67730.94851458319
IRR,34,202608,,0.0,26693.42904807041
IRR,34,202609,,0.0,0.0
IRR,34,202610,,0.0,0.0
IRR,34,202611,,0.0,0.0
IRR,34,202612,,0.0,0.0
IRR,37,202601,19522.743841883796,36183.86140554409,36680.39942357084
IRR,37,202602,19499.298390185584,37975.62673017877,38480.61109763194
IRR,37,202603,17609.688594827392,38118.60346029032,38604.42629216297
IRR,37,202604,16290.935267448247,40497.89838609636,40996.88009798316
IRR,37,202605,14877.78098165524,42419.62859919163,42888.75406970266
IRR,37,202606,12469.949024493388,43260.07183099044,43066.76218933008
IRR,37,202607,10286.576754981037,44847.73726606109,44759.40083544965
IRR,37,202608,,0.0,47138.17439210491
IRR,37,202609,,0.0,0.0
IRR,37,202610,,0.0,0.0
IRR,37,202611,,0.0,0.0
IRR,37,202612,,0.0,0.0
